Date,Open,High,Low,Close,Currency,Exchange
2017-09-05,38.1,38.36,36.56,37.43,USD,NASDAQ
2017-09-06,37.74,38.01,36.95,37.76,USD,NASDAQ
2017-09-07,37.98,38.3,37.6,37.99,USD,NASDAQ
2017-09-08,37.85,37.91,36.92,37.05,USD,NASDAQ
2017-09-11,37.89,38.48,37.88,38.23,USD,NASDAQ
2017-09-12,38.6,38.72,38.02,38.56,USD,NASDAQ
2017-09-13,38.33,38.73,38.18,38.72,USD,NASDAQ
2017-09-14,38.29,38.6,37.97,38.06,USD,NASDAQ
2017-09-15,38.02,38.84,37.83,38.37,USD,NASDAQ
2017-09-18,38.54,38.91,37.92,38.28,USD,NASDAQ
2017-09-19,38.46,38.62,38.06,38.44,USD,NASDAQ
2017-09-20,38.42,38.53,37.22,38.12,USD,NASDAQ
2017-09-21,38.01,38.02,37.0,37.39,USD,NASDAQ
2017-09-22,37.02,37.44,36.92,37.29,USD,NASDAQ
2017-09-25,36.84,36.89,35.55,36.12,USD,NASDAQ
2017-09-26,36.65,36.85,35.99,36.37,USD,NASDAQ
2017-09-27,36.95,37.75,36.67,37.36,USD,NASDAQ
2017-09-28,37.09,37.4,36.81,37.29,USD,NASDAQ
2017-09-29,37.52,38.16,37.22,38.08,USD,NASDAQ
2017-10-02,38.28,38.66,37.68,38.19,USD,NASDAQ
2017-10-03,38.33,38.56,38.08,38.43,USD,NASDAQ
2017-10-04,38.21,38.77,38.1,38.53,USD,NASDAQ
2017-10-05,38.98,39.7,38.82,39.64,USD,NASDAQ
2017-10-06,39.27,39.8,39.25,39.78,USD,NASDAQ
2017-10-09,39.97,40.09,39.52,39.68,USD,NASDAQ
2017-10-10,40.06,40.19,39.24,39.77,USD,NASDAQ
2017-10-11,39.72,40.13,39.55,40.11,USD,NASDAQ
2017-10-12,39.94,40.36,39.75,39.9,USD,NASDAQ
2017-10-13,40.36,40.48,40.22,40.34,USD,NASDAQ
2017-10-16,40.65,40.78,40.38,40.76,USD,NASDAQ
2017-10-17,40.71,40.92,40.52,40.9,USD,NASDAQ
2017-10-18,41.02,41.02,40.58,40.75,USD,NASDAQ
2017-10-19,40.05,40.3,39.44,40.3,USD,NASDAQ
2017-10-20,40.78,40.88,40.47,40.59,USD,NASDAQ
2017-10-23,40.85,40.86,39.64,39.83,USD,NASDAQ
2017-10-24,40.02,40.26,39.57,40.04,USD,NASDAQ
2017-10-25,39.77,40.16,38.66,39.55,USD,NASDAQ
2017-10-26,39.49,39.76,39.13,39.18,USD,NASDAQ
2017-10-27,41.05,42.8,40.94,42.56,USD,NASDAQ
2017-10-30,42.45,43.36,42.36,42.86,USD,NASDAQ
2017-10-31,43.25,43.52,42.9,43.32,USD,NASDAQ
2017-11-01,43.86,43.92,42.78,43.26,USD,NASDAQ
2017-11-02,43.13,43.19,42.15,43.04,USD,NASDAQ
2017-11-03,43.5,44.29,43.06,44.24,USD,NASDAQ
2017-11-06,44.16,44.76,44.11,44.69,USD,NASDAQ
2017-11-07,44.59,44.96,44.32,44.76,USD,NASDAQ
2017-11-08,44.72,45.35,44.55,45.32,USD,NASDAQ
2017-11-09,44.22,44.67,43.22,44.6,USD,NASDAQ
2017-11-10,44.3,44.69,44.05,44.58,USD,NASDAQ
2017-11-13,44.11,44.91,44.08,44.72,USD,NASDAQ
2017-11-14,44.27,44.41,43.61,44.27,USD,NASDAQ
2017-11-15,43.7,43.98,42.92,43.62,USD,NASDAQ
2017-11-16,44.3,45.57,44.28,45.25,USD,NASDAQ
2017-11-17,45.3,45.39,44.62,44.74,USD,NASDAQ
2017-11-20,44.81,44.97,44.45,44.63,USD,NASDAQ
2017-11-21,45.26,46.13,45.21,46.04,USD,NASDAQ
2017-11-22,46.2,46.37,45.94,46.22,USD,NASDAQ
2017-11-24,46.4,46.78,46.31,46.74,USD,NASDAQ
2017-11-27,46.68,47.01,46.36,46.67,USD,NASDAQ
2017-11-28,46.98,47.12,46.24,47.01,USD,NASDAQ
2017-11-29,46.89,46.89,43.92,44.59,USD,NASDAQ
2017-11-30,45.15,45.95,44.82,45.7,USD,NASDAQ
2017-12-01,44.82,45.74,43.1,45.09,USD,NASDAQ
2017-12-04,45.97,46.08,43.4,43.53,USD,NASDAQ
2017-12-05,43.46,45.1,42.98,43.6,USD,NASDAQ
2017-12-06,43.11,44.38,42.95,44.17,USD,NASDAQ
2017-12-07,44.2,45.0,44.03,44.61,USD,NASDAQ
2017-12-08,45.6,45.93,45.0,45.2,USD,NASDAQ
2017-12-11,45.27,46.29,45.25,46.24,USD,NASDAQ
2017-12-12,46.17,46.47,45.77,46.06,USD,NASDAQ
2017-12-13,46.59,46.76,46.13,46.29,USD,NASDAQ
2017-12-14,46.56,46.9,46.05,46.23,USD,NASDAQ
2017-12-15,46.77,47.94,46.51,47.73,USD,NASDAQ
2017-12-18,48.67,49.1,48.47,48.96,USD,NASDAQ
2017-12-19,48.69,48.85,47.71,48.16,USD,NASDAQ
2017-12-20,48.62,48.64,47.36,47.96,USD,NASDAQ
2017-12-21,48.13,48.57,47.77,47.94,USD,NASDAQ
2017-12-22,47.73,47.83,47.37,47.78,USD,NASDAQ
2017-12-26,47.01,47.17,46.46,47.0,USD,NASDAQ
2017-12-27,47.01,47.38,46.87,47.0,USD,NASDAQ
2017-12-28,47.42,47.46,46.99,47.13,USD,NASDAQ
2017-12-29,47.31,47.31,46.21,46.24,USD,NASDAQ
2018-01-02,46.97,48.71,46.63,48.61,USD,NASDAQ
2018-01-03,48.81,50.22,48.8,50.04,USD,NASDAQ
2018-01-04,50.62,50.8,50.15,50.33,USD,NASDAQ
2018-01-05,51.03,51.96,50.77,51.85,USD,NASDAQ
