Date,Guggenheim CurrencyShares Swedish Krona_Open_average,Guggenheim CurrencyShares Swedish Krona_Open_max,Guggenheim CurrencyShares Swedish Krona_High_average,Guggenheim CurrencyShares Swedish Krona_High_max,Guggenheim CurrencyShares Swedish Krona_Low_average,Guggenheim CurrencyShares Swedish Krona_Low_max,Guggenheim CurrencyShares Swedish Krona_Close_average,Guggenheim CurrencyShares Swedish Krona_Close_max
2019-05-12,-1.6951698214427677,-1.6951698214427677,-1.7541687627645566,-1.7541687627645566,-1.7523660040243925,-1.7523660040243925,-1.8063188519338231,-1.8063188519338231
2019-05-19,-1.0316835758016374,-1.0316835758016374,-0.905366335593166,-0.905366335593166,-1.002529932993498,-1.002529932993498,-0.9102824558308168,-0.9102824558308168
2019-05-26,-0.45103809206957285,-0.45103809206957285,-0.33532073057615047,-0.33532073057615047,-0.4479783953331682,-0.4479783953331682,-0.3266898749423265,-0.3266898749423265
2019-06-02,-0.0578010952508396,-0.0578010952508396,-0.12672462982636565,-0.12672462982636565,-0.027928524100911376,-0.027928524100911376,-0.1017265447288854,-0.1017265447288854
2019-06-09,-0.39099848179962715,-0.39099848179962715,-0.4692502126313939,-0.4692502126313939,-0.36898957061337045,-0.36898957061337045,-0.44472530757397694,-0.44472530757397694
2019-06-16,0.7555648842065646,0.7555648842065646,0.8692868762802453,0.8692868762802453,0.7845629281187575,0.7845629281187575,0.8813187501388846,0.8813187501388846
2019-06-23,0.572207685361482,0.572207685361482,0.47261607728171096,0.47261607728171096,0.603076237233647,0.603076237233647,0.49489483115761973,0.49489483115761973
2019-06-30,-0.11794879830171663,-0.11794879830171663,-0.2216635557020627,-0.2216635557020627,-0.10137892779877906,-0.10137892779877906,-0.19942254623077893,-0.19942254623077893
2019-07-07,0.9593335460331178,0.9593335460331178,0.7977374335667543,0.7977374335667543,0.9583600921266294,0.9583600921266294,0.8022219863130975,0.8022219863130975
2019-07-14,0.5349694532235805,0.5349694532235805,0.43284129516302244,0.43284129516302244,0.49165027649519866,0.49165027649519866,0.39533011319173006,0.39533011319173006
2019-07-21,-0.4996149544737665,-0.4996149544737665,-0.3984088027657033,-0.3984088027657033,-0.5169006106428838,-0.5169006106428838,-0.3943726207224731,-0.3943726207224731
2019-07-28,-0.9619864415516812,-0.9619864415516812,-1.0313791962084506,-1.0313791962084506,-1.76516614314453,-1.76516614314453,-1.7939066070835954,-1.7939066070835954
2019-08-04,-1.678401510645908,-1.678401510645908,-1.196531597192742,-1.196531597192742,-1.3871944748272211,-1.3871944748272211,-0.9277879159124246,-0.9277879159124246
2019-08-11,-1.8351896499735179,-1.8351896499735179,-2.0658345572385888,-2.0658345572385888,-1.6384399965433571,-1.6384399965433571,-1.7762930914752082,-1.7762930914752082
2019-08-18,-2.1033256719806914,-2.1033256719806914,-1.678998530586334,-1.678998530586334,-1.9116763428428978,-1.9116763428428978,-1.504095898869867,-1.504095898869867
2019-08-25,-1.737507444035503,-1.737507444035503,-1.9769887881669912,-1.9769887881669912,-1.6375734969065037,-1.6375734969065037,-1.8291863761052947,-1.8291863761052947
2019-09-01,-0.7699644026774533,-0.7699644026774533,-0.9550325457747756,-0.9550325457747756,-0.6847483780804675,-0.6847483780804675,-0.8516374472628782,-0.8516374472628782
2019-09-08,-0.5865292962724277,-0.5865292962724277,-0.7461312259622404,-0.7461312259622404,-0.5101309788464553,-0.5101309788464553,-0.657266083123716,-0.657266083123716
2019-09-15,-1.0372026534573973,-1.0372026534573973,-1.0560099806805987,-1.0560099806805987,-1.007551463314152,-1.007551463314152,-0.9626519147515298,-0.9626519147515298
2019-09-22,-1.3215396083884943,-1.3215396083884943,-1.5334590148414642,-1.5334590148414642,-1.3071220349549593,-1.3071220349549593,-1.4914076165454322,-1.4914076165454322
2019-09-29,-1.5134841398693353,-1.5134841398693353,-1.668563367868164,-1.668563367868164,-1.4695154205880487,-1.4695154205880487,-1.6281812838840963,-1.6281812838840963
2019-10-06,-0.9078512519450795,-0.9078512519450795,-1.0359065652028097,-1.0359065652028097,-0.8527715486119872,-0.8527715486119872,-0.9883517246021217,-0.9883517246021217
2019-10-13,0.387357654563338,0.387357654563338,0.21203823581081546,0.21203823581081546,0.5316059438120765,0.5316059438120765,0.3198300385854355,0.3198300385854355
2019-10-20,0.041955148274914006,0.041955148274914006,-0.13086431456818598,-0.13086431456818598,0.18486950336798824,0.18486950336798824,-0.029983264015084964,-0.029983264015084964
2019-10-27,0.7701380596218941,0.7701380596218941,0.5171609469459637,0.5171609469459637,0.7911082351333091,0.7911082351333091,0.530709699366222,0.530709699366222
2019-11-03,0.1918933325379316,0.1918933325379316,0.35175320234691676,0.35175320234691676,0.2245364123751556,0.2245364123751556,0.34863661289341685,0.34863661289341685
2019-11-10,1.0384992096564738,1.0384992096564738,0.8582559082159804,0.8582559082159804,1.0412490947467945,1.0412490947467945,0.8675536730461613,0.8675536730461613
2019-11-17,1.2250203032553173,1.2250203032553173,1.171741223003593,1.171741223003593,1.220495531031524,1.220495531031524,1.1666533822035245,1.1666533822035245
2019-11-24,1.2603824770675258,1.2603824770675258,1.3822851896960724,1.3822851896960724,1.2522818131458635,1.2522818131458635,1.365806309643765,1.365806309643765
2019-12-01,1.3283061088723895,1.3283061088723895,1.2563886430057118,1.2563886430057118,1.3194980292470053,1.3194980292470053,1.2518909317783489,1.2518909317783489
2019-12-08,2.2717383086312783,2.2717383086312783,2.2322031023065714,2.2322031023065714,2.14528966662927,2.14528966662927,2.109857927528203,2.109857927528203
2019-12-15,1.297997869839503,1.297997869839503,1.2722843983396752,1.2722843983396752,1.2286981452976258,1.2286981452976258,1.2208750226571075,1.2208750226571075
2019-12-22,1.5285457287611148,1.5285457287611148,1.5173442789507874,1.5173442789507874,1.5651270455477977,1.5651270455477977,1.5449891195384782,1.5449891195384782
2019-12-29,1.0138345194893494,1.0138345194893494,0.9997383512635711,0.9997383512635711,1.0980973267120926,1.0980973267120926,1.0831101523367792,1.0831101523367792
