Date,SPDR Gold Shares_Open_average,SPDR Gold Shares_Open_max,SPDR Gold Shares_High_average,SPDR Gold Shares_High_max,SPDR Gold Shares_Low_average,SPDR Gold Shares_Low_max,SPDR Gold Shares_Close_average,SPDR Gold Shares_Close_max
2019-06-23,1.8332650968824926,1.8332650968824926,1.7188308121908495,1.7188308121908495,1.7288936754774402,1.7288936754774402,1.565604322748026,1.565604322748026
2019-06-30,1.5943431890272042,1.5943431890272042,1.5111850492316994,1.5111850492316994,1.54733025783844,1.54733025783844,1.4224628173936906,1.4224628173936906
2019-07-07,1.4786203495067598,1.4786203495067598,1.443531064599959,1.443531064599959,1.5321486967294269,1.5321486967294269,1.543943860476907,1.543943860476907
2019-07-14,1.447983571761227,1.447983571761227,1.4083016879819519,1.4083016879819519,1.5104487077969615,1.5104487077969615,1.4338063780555217,1.4338063780555217
2019-07-21,1.1575471435411595,1.1575471435411595,1.18795657480437,1.18795657480437,1.1484401859140378,1.1484401859140378,1.2318754756038748,1.2318754756038748
2019-07-28,1.5477294138475801,1.5477294138475801,1.5640845984324896,1.5640845984324896,1.5188457292209612,1.5188457292209612,1.5239166267672857,1.5239166267672857
2019-08-04,1.7494931249474746,1.7494931249474746,1.85152615976609,1.85152615976609,1.832947959338795,1.832947959338795,1.8517892070750677,1.8517892070750677
2019-08-11,1.4672212595453673,1.4672212595453673,1.4016852123715535,1.4016852123715535,1.470741039953685,1.470741039953685,1.404537776457688,1.404537776457688
2019-08-18,1.6786241396673742,1.6786241396673742,1.6384605347022536,1.6384605347022536,1.6805997466239269,1.6805997466239269,1.634654382839552,1.634654382839552
2019-08-25,1.391890826775609,1.391890826775609,1.3948205642839786,1.3948205642839786,1.3391439899076087,1.3391439899076087,1.3474978018514585,1.3474978018514585
2019-09-01,1.0218440995185123,1.0218440995185123,0.8981218281806465,0.8981218281806465,0.9157103368293473,0.9157103368293473,0.8508166888751343,0.8508166888751343
2019-09-08,0.7813680142120201,0.7813680142120201,0.7257481120265364,0.7257481120265364,0.7834636805740889,0.7834636805740889,0.7362227780767716,0.7362227780767716
2019-09-15,0.9565035566874046,0.9565035566874046,0.9448700577587135,0.9448700577587135,1.0304375918970143,1.0304375918970143,1.053854887211914,1.053854887211914
2019-09-22,0.1231768588873279,0.1231768588873279,0.08485264247040177,0.08485264247040177,-0.12722666276881114,-0.12722666276881114,-0.05754261870066387,-0.05754261870066387
2019-09-29,0.3242351546951066,0.3242351546951066,0.3091077378113433,0.3091077378113433,0.25443009622512763,0.25443009622512763,0.22659657833084876,0.22659657833084876
2019-10-06,-0.010986771708763426,-0.010986771708763426,-0.08775535049192619,-0.08775535049192619,0.14893483133023325,0.14893483133023325,0.06264774273710545,0.06264774273710545
2019-10-13,-0.0891057851569031,-0.0891057851569031,-0.2939279641260453,-0.2939279641260453,-0.2351599981374316,-0.2351599981374316,-0.3769837862579215,-0.3769837862579215
2019-10-20,-0.15357842683258796,-0.15357842683258796,-0.44395374695467016,-0.44395374695467016,-0.20568505482910482,-0.20568505482910482,-0.32909728395678367,-0.32909728395678367
2019-10-27,0.31127840306422333,0.31127840306422333,0.05612846017018902,0.05612846017018902,0.3707536442323168,0.3707536442323168,0.3378778513486143,0.3378778513486143
2019-11-03,-2.2066216509076426,-2.2066216509076426,-2.122114243695754,-2.122114243695754,-2.123022501929552,-2.123022501929552,-2.0499023402348944,-2.0499023402348944
2019-11-10,-1.4534672172763712,-1.4534672172763712,-1.3399420549449836,-1.3399420549449836,-1.0546290338654507,-1.0546290338654507,-1.1103529641345862,-1.1103529641345862
2019-11-17,-1.6952276543436693,-1.6952276543436693,-1.6233983100169218,-1.6233983100169218,-1.4458899509185044,-1.4458899509185044,-1.5609222554614304,-1.5609222554614304
2019-11-24,-1.4604762496945232,-1.4604762496945232,-1.261174981444697,-1.261174981444697,-1.1328257630005774,-1.1328257630005774,-1.0852361017572298,-1.0852361017572298
2019-12-01,-1.047833250599399,-1.047833250599399,-1.187928184338088,-1.187928184338088,-0.9075989986089887,-0.9075989986089887,-1.0168086929112001,-1.0168086929112001
2019-12-08,-0.2712397182288663,-0.2712397182288663,-0.3332924084002036,-0.3332924084002036,-0.16738336822734176,-0.16738336822734176,-0.23365026283988227,-0.23365026283988227
2019-12-15,0.049135033953415015,0.049135033953415015,0.12789940182542384,0.12789940182542384,0.42095783151374644,0.42095783151374644,0.4622445912000935,0.4622445912000935
2019-12-22,1.5479937191658093,1.5479937191658093,1.5519733501898734,1.5519733501898734,1.7573761703101314,1.7573761703101314,1.7009284214744491,1.7009284214744491
2019-12-29,2.290256467903084,2.290256467903084,2.390066154862724,2.390066154862724,2.296689384186425,2.296689384186425,2.345759991620835,2.345759991620835
